,State,Action,Reward,Error,Time,Value,Alpha,Episilon,Max V,Value,Policy
0,4,0,4.0,0.4,4.715939998626709,[0.  0.  0.  0.  0.4],0.1,,0.4,[0.  0.  0.  0.  0.4],[0 0 0 0 0]
1,4,1,2.0,0.2,4.716187000274658,[0.  0.  0.  0.  0.4],0.1,,0.4,[0.  0.  0.  0.  0.4],[0 0 0 0 0]
2,0,1,0.0,0.0,4.716310977935791,[0.  0.  0.  0.  0.4],0.1,,0.4,[0.  0.  0.  0.  0.4],[0 0 0 0 0]
3,0,0,0.0,0.0,4.7164342403411865,[0.  0.  0.  0.  0.4],0.1,,0.4,[0.  0.  0.  0.  0.4],[0 0 0 0 0]
4,1,0,0.0,0.0,4.716556072235107,[0.  0.  0.  0.  0.4],0.1,,0.4,[0.  0.  0.  0.  0.4],[0 0 0 0 0]
5,2,1,1.0,0.1,4.716655015945435,[0.  0.  0.1 0.  0.4],0.1,,0.4,[0.  0.  0.1 0.  0.4],[0 0 1 0 0]
6,0,0,0.0,0.0,4.7167651653289795,[0.  0.  0.1 0.  0.4],0.1,,0.4,[0.  0.  0.1 0.  0.4],[0 0 1 0 0]
7,1,1,1.0,0.1,4.71687126159668,[0.  0.1 0.1 0.  0.4],0.1,,0.4,[0.  0.1 0.1 0.  0.4],[0 1 1 0 0]
8,0,1,0.0,0.0,4.716986179351807,[0.  0.1 0.1 0.  0.4],0.1,,0.4,[0.  0.1 0.1 0.  0.4],[0 1 1 0 0]
9,0,0,0.0,0.009000000000000001,4.717083215713501,[0.009 0.1   0.1   0.    0.4  ],0.1,,0.4,[0.009 0.1   0.1   0.    0.4  ],[0 1 1 0 0]
10,1,1,1.0,0.09081,4.717182874679565,[0.009   0.19081 0.1     0.      0.4    ],0.1,,0.4,[0.009   0.19081 0.1     0.      0.4    ],[0 1 1 0 0]
11,0,0,0.0,0.016272900000000003,4.717275142669678,[0.0252729 0.19081   0.1       0.        0.4      ],0.1,,0.4,[0.0252729 0.19081   0.1       0.        0.4      ],[0 1 1 0 0]
12,1,0,0.0,0.009000000000000001,4.71737003326416,[0.0252729 0.19081   0.1       0.        0.4      ],0.1,,0.4,[0.0252729 0.19081   0.1       0.        0.4      ],[0 1 1 0 0]
13,2,0,0.0,0.0,4.717465162277222,[0.0252729 0.19081   0.1       0.        0.4      ],0.1,,0.4,[0.0252729 0.19081   0.1       0.        0.4      ],[0 1 1 0 0]
14,3,0,0.0,0.036000000000000004,4.717560052871704,[0.0252729 0.19081   0.1       0.036     0.4      ],0.1,,0.4,[0.0252729 0.19081   0.1       0.036     0.4      ],[0 1 1 0 0]
15,4,0,4.0,0.3960000000000001,4.717639923095703,[0.0252729 0.19081   0.1       0.036     0.796    ],0.1,,0.796,[0.0252729 0.19081   0.1       0.036     0.796    ],[0 1 1 0 0]
16,4,0,4.0,0.39204,4.71773624420166,[0.0252729 0.19081   0.1       0.036     1.18804  ],0.1,,1.18804,[0.0252729 0.19081   0.1       0.036     1.18804  ],[0 1 1 0 0]
17,4,1,2.0,0.182274561,4.717828989028931,[0.0252729 0.19081   0.1       0.036     1.18804  ],0.1,,1.18804,[0.0252729 0.19081   0.1       0.036     1.18804  ],[0 1 1 0 0]
18,0,0,0.0,0.014645610000000002,4.71792197227478,[0.03991851 0.19081    0.1        0.036      1.18804   ],0.1,,1.18804,[0.03991851 0.19081    0.1        0.036      1.18804   ],[0 1 1 0 0]
19,1,1,1.0,0.0845116659,4.71801495552063,[0.03991851 0.27532167 0.1        0.036      1.18804   ],0.1,,1.18804,[0.03991851 0.27532167 0.1        0.036      1.18804   ],[0 1 1 0 0]
