,episode,penalty,alpha,gamma,epsilon
0,0,18,0.7,0.6,0.4
1,1,23,0.7,0.6,0.4
2,2,19,0.7,0.6,0.39611943516217557
3,3,24,0.7,0.6,0.3922774825896346
4,4,12,0.7,0.6,0.3884737580839182
5,5,16,0.7,0.6,0.3847078812694061
6,6,15,0.7,0.6,0.3809794755552785
7,7,17,0.7,0.6,0.37728816809785704
8,8,21,0.7,0.6,0.37363358976331984
9,9,19,0.7,0.6,0.37001537509078797
10,10,16,0.7,0.6,0.366433162255779
11,11,25,0.7,0.6,0.3628865930340242
12,12,23,0.7,0.6,0.35937531276564605
13,13,28,0.7,0.6,0.3558989703196914
14,14,19,0.7,0.6,0.3524572180590189
15,15,19,0.7,0.6,0.3490497118055343
16,16,17,0.7,0.6,0.34567611080577254
17,17,29,0.7,0.6,0.34233607769682245
18,18,13,0.7,0.6,0.3390292784725897
19,19,14,0.7,0.6,0.3357553824503961
20,20,17,0.7,0.6,0.3325140622379113
21,21,19,0.7,0.6,0.32930499370041294
22,22,16,0.7,0.6,0.32612785592837296
23,23,11,0.7,0.6,0.3229823312053666
24,24,11,0.7,0.6,0.3198681049763003
25,25,25,0.7,0.6,0.3167848658159559
26,26,11,0.7,0.6,0.3137323053978479
27,27,25,0.7,0.6,0.31071011846339086
28,28,18,0.7,0.6,0.30771800279137274
29,29,17,0.7,0.6,0.30475565916773295
30,30,19,0.7,0.6,0.3018227913556405
31,31,23,0.7,0.6,0.29891910606586997
32,32,25,0.7,0.6,0.2960443129274728
33,33,23,0.7,0.6,0.2931981244587395
34,34,25,0.7,0.6,0.29038025603845125
35,35,22,0.7,0.6,0.2875904258774178
36,36,22,0.7,0.6,0.28482835499029824
37,37,14,0.7,0.6,0.2820937671677021
38,38,10,0.7,0.6,0.2793863889485683
39,39,17,0.7,0.6,0.2767059495928188
40,40,18,0.7,0.6,0.27405218105428425
41,41,5,0.7,0.6,0.27142481795389933
42,42,19,0.7,0.6,0.2688235975531646
43,43,22,0.7,0.6,0.26624825972787214
44,44,11,0.7,0.6,0.26369854694209344
45,45,13,0.7,0.6,0.26117420422242515
46,46,26,0.7,0.6,0.2586749791324916
47,47,19,0.7,0.6,0.25620062174770114
48,48,25,0.7,0.6,0.2537508846302533
49,49,10,0.7,0.6,0.2513255228043949
50,50,26,0.7,0.6,0.2489242937319223
51,51,12,0.7,0.6,0.24654695728792705
52,52,22,0.7,0.6,0.2441932757367837
53,53,11,0.7,0.6,0.24186301370837582
54,54,10,0.7,0.6,0.23955593817455853
55,55,16,0.7,0.6,0.23727181842585598
56,56,31,0.7,0.6,0.23501042604838981
